Account length,Area code,International plan,Number vmail messages,Total day calls,Total eve minutes,Total eve calls,Total night minutes,Total night calls,Total intl minutes,Total intl calls,Customer service calls,Churn,Total charge,State,Voice mail plan
132,510,0,0,86,245.2,72,237.0,115,10.3,2,0,0,37.41,VA,No
174,415,0,0,76,277.1,112,250.7,115,15.5,5,3,0,48.87,NE,No
57,408,0,39,115,191.1,112,182.7,115,9.5,3,0,0,55.02,WY,Yes
54,408,0,0,73,155.5,100,102.1,68,14.7,4,3,0,40.02,MT,No
20,415,0,0,109,258.2,84,181.5,102,6.3,6,0,0,55.95,MO,No
49,510,0,0,117,215.1,109,178.7,90,11.1,1,1,0,41.56,HI,No
142,415,0,0,95,136.7,63,250.5,148,14.2,6,2,0,29.87,IL,No
75,510,0,0,105,201.5,107,246.2,98,10.3,5,1,0,58.35,NH,No
172,408,0,0,121,31.2,115,293.3,78,12.6,10,3,0,42.09,LA,No
12,408,0,0,118,252.4,119,280.2,90,11.8,3,1,1,67.07,AZ,No
57,408,0,25,94,195.0,75,213.5,116,8.3,4,0,0,48.88,OK,Yes
72,415,0,37,80,217.3,102,152.8,71,14.7,6,3,0,59.84,GA,Yes
36,408,0,30,128,162.5,80,129.3,109,14.5,6,0,0,42.6,AK,Yes
78,415,0,0,64,223.7,116,227.8,108,10.0,5,1,0,43.95,MA,No
136,415,1,33,106,187.6,99,101.7,107,10.5,6,3,0,53.45,AK,Yes
149,408,0,0,94,271.8,92,188.3,108,11.1,9,1,0,49.97,NJ,No
98,408,0,0,102,166.8,85,187.8,135,9.4,2,3,0,38.19,GA,No
135,408,1,41,85,203.9,107,122.2,78,14.6,15,0,1,50.7,MD,Yes
34,510,0,0,82,282.2,98,311.5,78,10.0,4,2,0,47.91,AR,No
160,415,0,0,77,165.3,110,178.5,92,9.2,4,3,0,31.12,ID,No
64,510,0,0,67,225.8,118,265.3,86,3.5,3,1,0,46.32000000000001,WI,No
59,408,0,28,97,213.0,92,163.1,116,8.5,5,2,0,40.96,OR,Yes
65,415,0,0,120,162.6,122,134.7,118,13.2,5,3,0,53.3,MI,No
142,408,0,0,133,134.6,74,242.2,127,7.4,5,2,0,45.23,DE,No
119,415,0,0,114,231.3,117,143.2,91,8.8,3,5,1,49.09,ID,No
97,415,0,24,135,217.2,58,70.6,79,11.0,3,1,0,44.07,WY,Yes
52,408,0,0,108,269.8,96,236.8,87,7.8,5,3,0,57.66,IA,No
60,408,0,0,57,211.1,115,249.0,129,6.8,3,1,0,57.28,IN,No
10,408,0,0,112,190.2,66,282.8,57,11.4,6,2,0,50.89,VA,No
96,415,0,0,117,267.5,67,228.5,68,9.3,5,2,0,52.48,UT,No
87,415,0,0,83,219.7,116,203.9,127,9.7,3,5,1,46.96,WY,No
81,408,0,0,67,249.3,85,270.2,98,10.2,3,1,0,53.78,IN,No
141,415,0,0,98,180.0,62,140.8,128,8.0,2,1,0,39.03,CO,No
121,408,0,30,129,75.3,77,181.2,77,5.8,3,3,1,41.7,CO,Yes
68,415,0,0,70,246.5,164,129.8,103,12.1,3,3,0,49.52,WI,No
125,408,0,0,103,177.4,126,189.3,95,12.0,8,1,0,57.3,OK,No
174,408,0,0,97,169.9,94,166.6,54,11.4,4,1,0,50.17999999999999,ID,No
116,415,0,34,83,178.2,142,166.3,106,11.6,3,2,0,63.94,CA,Yes
74,510,0,33,91,246.1,96,138.0,92,14.6,3,2,0,57.79,MN,Yes
149,408,0,28,92,187.8,64,265.5,53,12.6,3,3,0,50.08,SD,Yes
38,408,0,0,98,162.9,97,159.0,106,8.2,6,2,0,38.36,NC,No
40,415,0,41,74,169.5,88,214.1,102,6.2,5,2,0,41.260000000000005,WA,Yes
43,415,1,0,105,212.8,104,157.8,67,9.3,4,0,0,63.35999999999999,WY,No
113,408,1,0,93,206.4,119,129.3,139,8.3,8,0,0,41.06,MN,No
126,408,0,0,70,216.9,80,153.5,60,7.8,1,1,0,56.52,UT,No
150,510,0,0,101,169.1,110,148.6,100,13.8,3,4,1,48.51,TX,No
138,408,0,0,93,170.5,83,295.3,104,11.8,7,3,0,58.79,NJ,No
162,510,0,46,97,188.2,84,254.6,61,12.1,2,0,0,57.5,MN,Yes
147,510,0,0,83,148.9,85,172.5,109,8.0,4,3,0,57.08,NM,No
90,415,0,0,146,226.7,117,152.4,105,7.3,4,1,0,55.81999999999999,NV,No
85,415,0,0,109,157.2,94,188.2,99,12.0,3,0,0,56.690000000000005,HI,No
50,415,0,0,90,223.3,72,181.4,111,6.1,2,1,0,47.34,MN,No
82,415,0,0,109,181.0,100,270.1,73,11.7,4,0,1,69.6,DC,No
144,408,0,0,117,77.1,85,173.0,99,8.2,7,4,1,19.23,NY,No
46,415,0,0,72,164.4,104,177.5,113,8.2,3,2,0,52.58,MN,No
70,408,0,0,98,155.2,102,228.6,76,15.0,2,1,0,46.17,MD,No
144,415,0,0,99,303.5,74,224.0,119,13.2,2,1,0,63.55,WV,No
116,415,1,0,104,204.8,79,278.5,109,12.6,5,3,0,57.43,OR,No
55,408,0,25,123,136.1,95,175.7,90,11.0,2,3,0,42.69,CO,Yes
70,415,0,24,101,259.7,98,222.7,68,9.8,4,1,0,67.14000000000001,GA,Yes
106,510,0,0,96,249.2,85,191.4,88,12.4,1,2,1,60.33,TX,No
128,510,0,29,104,225.9,86,323.0,78,8.6,7,0,0,52.0,VT,Yes
94,408,0,0,105,155.0,101,189.6,84,8.0,5,4,1,42.17999999999999,IN,No
111,510,0,0,118,208.5,76,182.4,98,12.0,2,1,0,57.39,WV,No
74,415,0,35,104,123.4,84,202.1,57,10.9,9,2,0,39.63,KY,Yes
128,415,0,0,125,247.6,93,208.9,68,13.9,4,1,1,65.24,NJ,No
82,510,0,0,61,194.9,105,109.6,94,11.1,2,1,0,44.03,DC,No
155,415,0,0,100,190.9,104,196.0,119,8.9,4,0,1,53.21,LA,No
80,415,0,0,100,173.0,107,253.2,62,7.9,9,1,0,37.970000000000006,AR,No
78,415,0,0,93,178.4,112,263.9,105,9.5,7,3,0,60.720000000000006,ME,No
90,415,0,0,71,190.6,81,127.7,91,10.6,7,3,0,49.51,AZ,No
104,408,0,0,106,81.0,113,163.2,137,9.8,5,1,0,56.87,AK,No
73,415,0,0,110,213.3,72,174.1,72,13.0,4,0,0,48.85999999999999,MT,No
99,415,0,0,87,207.3,76,190.9,113,8.7,3,4,0,53.66,AZ,No
120,408,0,0,131,209.4,104,167.2,96,5.3,5,1,1,55.29,MS,No
77,415,0,0,72,205.7,126,275.2,109,9.8,7,2,1,62.940000000000005,ID,No
98,510,0,21,114,252.2,83,160.2,92,4.4,8,4,0,50.03,IA,Yes
108,415,0,0,137,189.0,76,129.1,102,14.6,5,0,0,50.31999999999999,MA,No
135,415,0,0,82,119.0,105,180.0,100,10.5,6,0,0,38.75,VT,No
95,408,0,0,99,183.6,106,245.3,102,12.5,9,1,0,41.940000000000005,KY,No
122,408,0,0,94,173.7,109,248.6,75,11.3,2,1,0,46.8,IN,No
95,408,0,0,65,187.2,98,190.0,115,11.8,4,4,0,59.58,AZ,No
36,510,0,29,102,202.2,76,187.2,113,9.0,6,2,0,67.46000000000001,MI,Yes
93,510,0,21,131,164.5,115,217.0,86,9.8,3,1,0,36.67,NM,Yes
141,415,0,32,91,131.1,97,219.4,142,10.1,1,1,0,39.13,CO,Yes
157,408,0,0,90,147.9,121,241.4,108,9.6,7,3,0,54.23,UT,No
120,408,0,0,100,317.2,83,119.2,86,8.3,8,1,0,57.25000000000001,MI,No
103,415,0,0,117,223.3,94,222.8,91,12.6,2,2,0,53.83,MA,No
98,408,0,0,117,190.9,113,227.7,113,12.1,4,4,0,46.870000000000005,AL,No
125,408,0,0,108,206.0,90,247.8,114,13.3,7,1,0,42.64,DE,No
63,415,0,0,125,169.6,59,211.4,88,9.4,3,1,0,26.97,AZ,No
36,510,1,42,89,254.9,122,138.3,126,20.0,6,0,1,60.53,ME,Yes
64,510,0,0,83,152.3,109,57.5,122,14.2,3,1,0,44.42,NJ,No
74,415,0,0,114,219.9,48,170.0,115,9.4,4,1,1,69.26,NV,No
112,510,0,36,117,157.5,82,177.6,118,10.0,3,2,0,35.42,MO,Yes
97,408,0,0,125,214.8,111,143.3,81,8.7,5,2,0,61.38,ID,No
46,408,0,0,92,227.3,77,200.1,116,13.1,7,1,0,58.59,NE,No
41,408,0,22,102,141.8,86,142.2,123,7.2,3,0,0,50.34,TX,Yes
121,510,0,0,103,183.5,117,220.8,103,9.8,4,3,0,50.67,MD,No
193,415,0,0,124,132.3,95,112.9,89,11.6,3,1,0,43.43,MS,No
130,510,0,0,119,110.2,98,227.4,117,9.2,5,2,0,38.06,NV,No
85,408,0,0,52,229.4,104,252.5,106,12.0,3,1,0,56.98,AZ,No
162,415,0,0,108,157.5,87,154.8,82,9.1,3,4,1,27.87,MS,No
61,510,0,27,124,146.6,103,225.7,129,6.4,6,4,1,46.07,MS,Yes
92,408,0,0,90,193.7,123,175.0,86,9.2,4,2,0,34.529999999999994,TX,No
131,408,0,36,115,161.7,117,264.7,102,9.5,4,3,0,52.72,NE,Yes
90,415,0,0,92,217.7,114,146.9,123,10.9,2,3,0,46.17999999999999,NE,No
75,408,0,0,125,158.2,86,256.7,80,6.1,5,1,0,43.37,CA,No
78,415,0,0,115,230.4,140,261.4,120,9.5,3,1,0,61.42,NJ,No
82,408,0,0,96,201.2,102,206.1,60,7.1,1,4,0,53.07,TX,No
163,408,0,0,109,202.6,128,206.4,80,9.1,10,1,0,53.17,AR,No
91,510,1,0,112,173.3,83,247.2,130,11.2,3,3,0,39.830000000000005,AL,No
75,415,0,21,97,217.5,106,237.5,134,5.3,4,5,0,49.81,NY,Yes
91,510,0,0,106,210.1,113,195.6,129,12.0,3,3,0,55.63,FL,No
127,510,0,36,117,126.8,76,263.3,71,11.2,8,1,0,44.940000000000005,AK,Yes
113,415,0,23,101,152.0,60,158.6,59,10.2,5,2,0,50.52,NV,Yes
110,510,0,0,115,276.4,84,193.6,112,12.4,3,1,0,52.09,DE,No
120,415,0,39,68,220.4,97,253.8,116,10.5,4,0,0,55.620000000000005,MD,Yes
157,415,0,28,107,195.5,74,109.7,139,6.8,5,3,0,51.2,MI,Yes
103,510,0,0,47,195.5,84,200.5,96,11.7,4,1,0,61.69,VT,No
117,408,1,0,86,177.5,87,249.4,132,14.1,7,2,1,47.31,VT,No
140,415,0,0,101,160.1,94,110.4,98,14.3,6,3,0,56.89,MI,No
127,408,0,0,91,203.5,78,203.4,110,13.7,3,1,0,45.940000000000005,WA,No
83,408,1,0,87,216.3,126,121.1,105,11.7,4,1,0,67.71,UT,No
121,408,0,0,121,218.4,98,161.6,103,8.5,5,1,0,51.72,LA,No
145,408,0,43,97,162.1,95,286.9,86,11.1,4,2,0,60.59,RI,Yes
113,408,0,0,99,221.4,125,172.3,67,10.6,6,1,0,54.63,IA,No
117,415,0,0,119,206.7,91,299.0,105,10.1,7,1,0,37.78,NE,No
65,408,0,0,116,157.6,117,227.3,86,7.5,6,1,0,47.370000000000005,OH,No
56,415,0,0,112,248.5,118,140.5,142,6.9,11,1,0,61.400000000000006,RI,No
96,415,0,0,115,146.0,46,269.5,87,11.5,4,5,0,59.790000000000006,OK,No
151,408,0,0,116,292.1,138,265.9,101,9.8,4,0,0,57.85999999999999,LA,No
83,415,0,0,120,227.4,116,153.9,114,15.8,7,0,1,80.96,OH,No
139,510,0,23,129,247.0,96,259.2,112,13.7,2,0,0,51.49,VA,Yes
6,510,0,0,117,256.7,72,178.6,79,10.2,2,1,0,55.78,MO,No
115,510,0,24,124,183.4,129,164.8,114,9.6,4,1,0,42.34,FL,Yes
87,415,0,0,97,172.2,108,137.5,101,7.1,5,0,0,39.73,SC,No
141,415,0,0,110,241.5,111,253.5,103,12.0,6,0,0,60.68,VA,No
141,510,0,36,99,241.4,116,229.5,105,10.5,5,3,0,55.24,IA,Yes
62,415,0,0,103,135.4,122,236.6,82,12.2,1,1,0,31.61,MI,No
146,415,0,0,151,148.6,89,167.2,91,6.1,3,1,0,49.35,OK,No
92,415,0,33,92,213.8,92,228.7,104,12.1,2,2,0,62.77,DE,Yes
185,510,0,31,126,163.3,133,264.8,126,7.5,3,1,0,48.18000000000001,GA,Yes
148,415,0,0,102,243.2,128,261.3,90,10.9,3,1,0,57.95,DC,No
94,408,0,38,124,193.3,116,105.9,73,12.8,4,1,0,48.81,AZ,Yes
32,510,0,0,87,187.4,90,154.0,53,6.3,2,0,0,56.88,AL,No
68,408,0,0,105,223.5,105,97.4,79,13.2,2,1,0,62.870000000000005,CO,No
64,408,0,27,91,169.7,98,164.7,86,10.6,5,2,0,48.24,NH,Yes
25,415,0,0,87,211.5,101,268.9,86,10.5,4,3,0,41.10000000000001,NM,No
65,415,0,0,87,178.9,93,182.4,150,14.1,2,1,0,38.88,OR,No
179,408,0,0,92,149.4,125,244.7,104,6.1,5,0,0,51.60999999999999,LA,No
94,415,0,0,104,169.0,125,170.9,106,11.1,7,2,0,60.31,NE,No
62,415,0,0,91,190.4,107,195.2,115,12.2,3,0,0,44.48,MN,No
127,415,0,0,103,229.4,86,195.2,113,11.5,3,2,0,56.97,MI,No
116,408,0,0,93,194.1,76,208.0,112,16.2,10,3,0,50.37,AR,No
70,408,0,0,122,292.3,112,201.2,112,0.0,0,3,0,64.31,KS,No
94,510,1,23,125,214.5,136,282.2,103,9.5,5,4,0,54.31,WV,Yes
126,415,0,0,94,138.7,118,136.8,91,11.9,1,5,1,24.89,AK,No
67,408,0,36,111,237.7,94,169.9,103,9.9,12,2,0,42.52,NY,Yes
19,408,0,0,98,254.3,57,214.0,127,14.6,7,2,0,57.2,NH,No
170,510,1,0,68,245.0,122,134.4,121,8.4,3,3,0,67.27999999999999,VA,No
73,415,0,0,145,268.5,135,241.2,92,10.8,13,1,0,62.17,NM,No
106,408,0,0,74,64.3,139,198.5,103,10.2,4,1,0,35.2,NY,No
93,415,0,0,71,229.4,108,77.3,121,10.9,3,2,0,68.61,AZ,No
164,510,0,0,111,163.2,126,187.1,112,9.0,3,1,0,43.6,WY,No
51,408,0,0,109,187.4,95,231.2,107,9.1,3,1,0,57.9,WA,No
107,415,0,0,85,180.5,94,112.2,115,8.9,4,0,0,40.49,CO,No
130,415,0,0,109,90.7,104,238.0,69,9.5,2,1,0,40.35,TX,No
80,408,0,0,74,195.1,77,208.2,119,8.8,4,2,0,54.64,KY,No
94,415,0,0,118,203.2,88,150.0,131,13.4,2,0,0,44.27,MT,No
118,408,0,23,52,166.6,111,119.1,88,9.5,4,1,0,65.94999999999999,OK,Yes
117,415,0,23,86,177.0,86,180.5,92,6.8,6,1,0,50.57000000000001,MD,Yes
78,415,0,0,119,182.2,115,261.5,126,9.7,8,0,0,43.56,TN,No
208,510,0,0,67,176.3,113,181.7,102,10.7,6,2,1,73.39,TX,No
131,510,1,26,101,199.7,97,255.3,127,13.8,7,4,1,70.49,ME,Yes
63,408,0,0,64,177.0,106,245.7,89,13.0,3,0,0,32.67,DC,No
53,415,0,24,146,220.5,136,249.9,96,13.1,5,3,0,47.05,MN,Yes
62,408,0,0,101,328.2,93,245.0,131,11.2,1,2,0,61.91,DE,No
97,415,0,0,86,184.0,94,240.5,110,6.4,8,3,0,54.43,MD,No
105,510,0,0,109,178.6,51,217.0,83,6.8,3,2,0,40.92,MI,No
157,415,0,0,105,257.5,80,198.1,93,9.4,4,1,0,50.39,WA,No
66,415,0,36,76,209.8,77,190.4,117,12.1,2,1,0,39.24,MO,Yes
122,415,0,0,98,83.9,72,179.8,84,13.7,8,2,0,52.28000000000001,IN,No
38,415,0,0,94,186.7,95,223.3,90,10.8,5,3,0,51.84,OR,No
106,510,0,0,95,151.9,70,260.1,124,12.2,5,3,0,52.56,MD,No
99,510,0,0,112,246.7,89,226.1,89,15.8,7,3,0,62.16,RI,No
99,415,0,0,72,155.6,98,188.2,109,11.6,10,1,0,57.35,LA,No
144,510,1,0,100,247.6,103,194.3,94,11.9,11,0,0,58.86000000000001,AZ,No
82,415,0,24,131,244.5,106,122.4,68,10.7,3,1,0,50.05,PA,Yes
86,408,0,31,139,113.0,118,246.9,121,12.2,6,1,0,41.38999999999999,AZ,Yes
70,510,1,0,98,228.1,115,73.2,93,17.6,4,2,1,62.68,FL,No
93,415,0,0,93,178.6,98,225.2,131,11.5,6,3,0,48.77,LA,No
93,415,0,0,89,186.4,76,172.5,120,10.9,3,0,0,44.52,FL,No
120,415,0,0,80,224.2,82,265.4,91,4.7,7,3,0,50.93,FL,No
136,415,0,0,121,267.1,118,151.0,114,13.0,2,1,1,68.74000000000001,MD,No
106,415,0,0,121,110.1,98,188.7,107,7.1,12,0,0,49.19,AL,No
81,415,0,0,116,152.6,98,212.2,99,12.2,6,3,0,47.47,WA,No
127,408,0,22,114,174.5,103,244.9,68,10.2,6,1,0,45.8,TN,Yes
65,415,0,0,112,272.9,96,220.2,104,4.4,2,1,0,47.53,MS,No
35,408,0,0,113,242.2,122,174.3,104,8.9,6,2,0,48.37,ME,No
88,408,0,0,97,168.2,76,236.0,113,13.8,1,2,0,29.15,OK,No
65,415,0,0,111,234.5,94,250.1,123,2.7,4,1,0,56.94,IN,No
123,415,0,0,85,244.7,78,221.5,136,7.7,2,3,0,58.05,MO,No
126,408,0,27,78,189.6,83,76.5,139,9.6,3,2,0,50.36,IA,Yes
104,415,0,23,136,220.5,92,136.9,102,13.3,3,4,0,69.96000000000001,VA,Yes
45,415,0,22,84,313.2,92,163.3,108,11.9,3,0,0,63.25000000000001,KY,Yes
93,408,1,0,109,129.4,100,217.6,74,10.5,2,0,1,66.88,MD,No
63,415,1,36,110,291.3,111,197.6,92,11.0,6,1,0,61.56,OH,Yes
100,415,0,0,96,217.0,126,180.9,122,13.5,2,3,0,56.63,OK,No
53,415,0,0,97,220.3,87,154.3,113,10.9,2,0,0,50.37,NV,No
92,415,1,0,140,240.3,105,233.2,117,9.0,5,1,0,52.29,ID,No
139,510,0,0,106,211.3,98,193.6,125,10.2,2,5,1,43.56,MN,No
110,408,0,40,103,118.8,128,234.9,98,9.0,9,2,0,46.97,SD,Yes
110,408,0,0,117,200.8,98,192.2,101,9.8,7,3,0,32.39,IL,No
215,510,0,0,148,120.9,91,226.6,110,10.7,9,0,0,27.380000000000003,WY,No
73,415,0,0,86,168.6,116,139.8,87,9.4,6,1,0,49.54,AL,No
138,510,0,0,89,88.3,125,195.3,79,12.9,5,0,0,48.42,NJ,No
137,415,1,0,95,134.1,102,223.1,81,12.3,2,2,1,37.69,NV,No
36,415,0,0,77,182.4,151,275.8,103,8.4,2,1,0,60.85,IN,No
85,408,0,0,81,176.9,63,194.3,110,7.1,2,3,0,55.21,WV,No
108,408,0,0,99,267.8,60,354.9,75,9.4,3,0,1,59.05,VA,No
22,408,0,0,107,166.5,93,202.3,96,9.5,5,0,0,35.47,SC,No
107,415,0,37,102,102.2,80,261.8,106,11.1,3,0,0,21.89,RI,Yes
51,510,0,0,94,149.7,58,283.4,66,10.2,5,0,0,51.99,IN,No
94,408,0,0,85,202.4,98,245.9,97,9.2,2,4,0,50.59,AZ,No
119,510,0,23,114,278.0,137,228.4,112,11.8,4,2,0,53.0,NM,Yes
33,415,0,29,99,117.9,80,279.2,79,13.9,11,4,1,40.53,OR,Yes
106,415,0,0,91,172.0,109,191.8,143,14.4,7,4,0,53.85,NJ,No
82,408,0,0,90,232.9,83,172.4,108,9.1,8,3,0,57.45,MS,No
86,510,0,41,101,230.0,134,236.9,58,9.5,3,0,0,42.35,MI,Yes
97,415,1,0,117,273.0,82,178.3,81,10.9,3,0,0,50.58,TX,No
106,408,0,32,126,216.5,93,173.1,86,14.1,8,4,0,50.41,FL,Yes
108,510,0,0,122,172.3,117,231.6,92,9.8,3,1,0,40.86,DC,No
114,415,0,0,118,249.9,86,193.4,95,14.5,8,1,0,39.56,TX,No
92,408,1,0,111,180.6,126,221.7,80,10.4,2,1,1,28.8,KS,No
59,510,0,0,79,235.3,123,169.4,80,8.7,4,1,0,48.73,UT,No
24,510,0,25,110,209.3,105,231.2,55,6.7,9,1,0,47.63,MN,Yes
151,408,0,0,88,143.1,112,223.9,61,15.4,1,1,0,39.19,IL,No
117,415,0,0,103,211.3,108,185.2,96,11.5,3,1,0,45.43,NM,No
78,510,0,0,110,221.2,73,241.0,136,12.5,1,1,0,50.79,SC,No
155,408,0,0,55,194.6,113,146.5,85,8.3,6,2,0,63.39,NC,No
114,510,0,30,79,260.0,91,291.6,83,11.4,6,1,0,60.23,WV,Yes
114,510,0,28,94,193.0,117,232.4,100,8.4,9,4,0,57.07,RI,Yes
119,408,0,0,89,170.5,78,263.9,98,13.5,6,3,0,41.65,NH,No
64,510,0,48,104,136.2,101,147.4,89,4.5,4,0,0,28.85,MO,Yes
118,408,1,0,123,175.4,96,184.8,99,9.9,3,2,0,44.78,MA,No
101,415,0,0,105,224.9,117,249.9,100,14.6,3,0,0,58.17999999999999,PA,No
117,415,0,0,121,180.0,83,200.9,104,7.7,3,1,0,40.28,OK,No
49,415,0,28,78,235.2,100,206.2,107,8.0,13,3,0,58.6,AL,Yes
139,415,0,0,104,234.4,96,203.2,101,13.0,3,3,0,56.21,WY,No
92,408,0,28,90,194.8,79,239.2,114,10.0,3,1,0,44.95,PA,Yes
83,415,0,0,103,231.8,103,122.5,100,9.8,5,3,0,59.99,WA,No
148,510,1,0,88,208.0,85,203.3,99,11.1,4,0,0,57.89,HI,No
144,408,0,48,96,123.4,67,214.2,106,6.5,2,2,1,44.52,SD,Yes
131,415,0,25,85,225.9,105,254.2,59,10.9,6,2,0,54.89999999999999,AL,Yes
146,510,1,0,135,219.1,90,222.7,114,10.5,6,3,0,56.21000000000001,VT,No
143,415,0,0,97,174.0,108,188.2,119,13.0,4,2,0,47.59,MT,No
81,415,0,0,93,210.9,108,193.3,71,10.4,6,2,0,54.47,MN,No
48,415,0,37,115,159.9,84,144.1,80,12.2,1,1,0,52.87,AK,Yes
86,415,0,28,74,288.4,100,240.3,105,9.0,2,1,0,64.61000000000001,MI,Yes
71,415,0,0,108,181.5,109,281.4,56,6.7,5,3,0,50.88,DE,No
145,408,0,24,90,175.7,108,252.1,102,15.6,3,2,0,44.22,SD,Yes
137,510,0,0,122,128.0,102,194.5,84,8.8,5,2,0,48.35000000000001,MI,No
137,408,0,0,88,209.3,86,289.9,84,14.5,4,2,0,56.71,KS,No
167,510,0,0,88,132.4,63,255.2,98,14.1,5,0,0,50.35,AL,No
89,510,0,0,95,260.9,114,312.1,89,5.3,3,1,1,75.27000000000001,OK,No
199,415,0,34,121,219.4,99,299.3,94,8.0,2,0,0,60.010000000000005,CT,Yes
132,510,0,0,110,129.1,80,125.1,124,9.7,3,0,0,30.51,NE,No
94,510,0,0,112,194.0,112,146.7,108,5.9,4,1,0,48.19,WI,No
96,415,0,37,93,120.1,116,216.1,86,10.3,5,5,1,42.35,CT,Yes
96,510,0,18,86,133.4,113,259.5,70,9.8,3,1,0,43.35,WI,Yes
166,510,0,0,115,179.9,152,216.8,109,9.5,5,1,0,52.57,IN,No
74,415,0,0,83,247.7,67,142.4,85,10.1,5,2,0,38.35,DC,No
36,415,0,0,117,184.3,58,240.4,99,11.9,1,0,0,45.67,AR,No
113,415,0,0,129,218.7,117,207.1,91,6.6,9,4,0,57.010000000000005,ME,No
94,415,0,0,98,199.9,88,287.7,114,6.6,5,1,0,49.63,MN,No
67,415,0,0,80,110.4,81,195.4,111,11.9,4,2,0,41.78,MD,No
127,415,0,0,106,264.8,168,207.2,119,5.9,2,1,1,69.42,FL,No
121,408,0,0,108,350.5,68,297.0,87,11.2,3,0,1,61.78,RI,No
158,415,0,0,106,292.5,114,241.1,89,9.1,4,1,0,54.18,IA,No
136,510,0,0,117,253.6,77,214.1,90,10.3,10,1,0,39.98,AZ,No
196,415,0,0,109,249.5,114,173.1,70,9.1,5,2,0,63.45,MO,No
113,415,0,0,111,268.5,118,213.8,105,8.5,10,1,1,71.38,VT,No
122,408,0,0,99,214.8,89,133.9,107,11.4,3,4,1,71.73,IN,No
112,510,0,0,101,190.3,82,183.4,107,11.4,2,0,0,52.31,RI,No
209,415,0,0,128,258.4,92,183.5,74,8.9,4,3,0,62.98,SD,No
62,415,0,0,109,220.0,118,265.7,78,13.2,2,1,1,64.54,MN,No
110,415,0,38,102,195.9,112,183.5,82,9.7,6,1,0,59.44,TX,Yes
16,510,0,0,69,169.5,93,220.1,64,10.9,3,0,0,52.3,VA,No
73,408,0,0,136,280.3,122,205.0,77,9.8,4,0,0,42.48,MA,No
128,408,0,0,99,205.4,107,254.4,111,18.9,2,0,0,43.84,ID,No
39,408,0,0,158,306.2,120,123.9,46,12.4,3,1,0,39.65,MA,No
103,415,0,28,105,270.4,100,160.5,76,7.7,4,2,0,45.63,GA,Yes
119,415,0,29,66,256.8,114,147.6,76,7.6,3,3,0,43.91,RI,Yes
173,510,0,21,96,211.9,118,273.0,102,5.0,5,3,0,58.87,ID,Yes
128,510,1,32,81,188.8,74,154.9,101,9.4,2,2,1,56.59,SD,Yes
86,510,0,0,79,259.2,97,287.4,78,6.2,3,0,0,53.67,MA,No
114,415,0,32,79,177.8,105,232.4,89,12.9,3,1,0,39.87,WY,Yes
104,408,0,0,107,256.9,113,234.9,74,10.0,3,0,0,48.120000000000005,VA,No
148,415,0,0,134,246.6,92,251.6,91,11.3,4,1,0,38.68,OR,No
129,408,0,0,91,154.9,121,245.1,112,13.4,5,3,0,51.98,VA,No
100,510,0,30,104,219.5,107,152.3,118,7.1,3,0,0,30.58,ME,Yes
